retries,elapsed,delay,loss,size,rate,proto,GTRs
0,97.89066200,100.0,20.0,100000,1022.0,IPv4,34
0,202.53092100,100.0,20.0,100000,493.8,IPv6,22
0,99.94580400,200.0,20.0,100000,1001.0,IPv4,7
0,98.23489200,200.0,20.0,100000,1018.0,IPv6,8
0,228.98579000,500.0,20.0,100000,436.7,IPv4,36
0,98.03865100,500.0,20.0,100000,1020.0,IPv6,9
0,97.36486800,0.0,30.1,100000,1027.0,IPv4,39
0,155.39769500,0.0,30.1,100000,643.5,IPv6,38
0,101.91821200,10.1,30.1,100000,981.2,IPv4,22
0,118.50243400,10.1,30.1,100000,843.9,IPv6,30
0,97.87769000,20.1,30.1,100000,1022.0,IPv4,6
0,98.06370500,20.1,30.1,100000,1020.0,IPv6,45
0,97.76712800,50.0,30.1,100000,1023.0,IPv4,12
0,102.11677400,50.0,30.1,100000,979.3,IPv6,30
0,69.14137600,100.0,30.1,100000,1446.0,IPv4,24
0,98.02461300,100.0,30.1,100000,1020.0,IPv6,18
0,339.53446800,200.0,30.1,100000,294.5,IPv4,66
0,594.84785800,200.0,30.1,100000,168.1,IPv6,90
0,199.32476400,500.0,30.1,100000,501.7,IPv4,85
0,337.10986700,500.0,30.1,100000,296.6,IPv6,72
0,75.32535500,0.0,50.2,100000,1328.0,IPv4,38
0,110.31503900,0.0,50.2,100000,906.5,IPv6,42
0,151.06028300,10.1,50.2,100000,662.0,IPv4,39
0,323.31591700,10.1,50.2,100000,309.3,IPv6,108
0,118.33712100,20.1,50.2,100000,845.0,IPv4,30
0,341.70381600,20.1,50.2,100000,292.7,IPv6,126
0,116.30753600,50.0,50.2,100000,859.8,IPv4,15
0,227.06943700,50.0,50.2,100000,440.4,IPv6,72
0,648.76764100,100.0,50.2,100000,154.1,IPv4,213
0,3.12091000,100.0,50.2,100000,32040.0,IPv6,4
0,98.59596600,200.0,50.2,100000,1014.0,IPv4,31
0,196.52243000,200.0,50.2,100000,508.8,IPv6,75
0,360.05510000,500.0,50.2,100000,277.7,IPv4,97
0,106.22116000,500.0,50.2,100000,941.4,IPv6,54
0,196.15098000,0.0,60.0,100000,509.8,IPv4,129
0,261.86691500,0.0,60.0,100000,381.9,IPv6,71
0,101.90930900,10.1,60.0,100000,981.3,IPv4,32
0,384.75300800,10.1,60.0,100000,259.9,IPv6,133
0,322.77768100,20.1,60.0,100000,309.8,IPv4,160
0,331.52019900,20.1,60.0,100000,301.6,IPv6,121
0,196.64727700,50.0,60.0,100000,508.5,IPv4,90
0,335.58494900,50.0,60.0,100000,298.0,IPv6,103
0,85.56262000,100.0,60.0,100000,1169.0,IPv4,37
0,175.84810700,100.0,60.0,100000,568.7,IPv6,66
1000000000,1000000000.00000000,200.0,60.0,100000,0.0,IPv4,37
0,466.65422100,200.0,60.0,100000,214.3,IPv6,194
0,207.50385900,500.0,60.0,100000,481.9,IPv4,99
0,118.49804500,500.0,60.0,100000,843.9,IPv6,60
0,72.51633500,0.0,70.0,100000,1379.0,IPv4,61
0,110.32267400,0.0,70.0,100000,906.4,IPv6,59
0,78.45143100,10.1,70.0,100000,1275.0,IPv4,41
0,318.40347300,10.1,70.0,100000,314.1,IPv6,126
0,339.49804200,20.1,70.0,100000,294.6,IPv4,187
0,655.08150600,20.1,70.0,100000,152.7,IPv6,192
0,102.48856300,50.0,70.0,100000,975.7,IPv4,22
0,100.09355100,50.0,70.0,100000,999.1,IPv6,67
0,161.29813900,100.0,70.0,100000,620.0,IPv4,68
0,698.14251200,100.0,70.0,100000,143.2,IPv6,262
0,210.50169400,200.0,70.0,100000,475.1,IPv4,115
1000000000,1000000000.00000000,200.0,70.0,100000,0.0,IPv6,20
0,274.40313100,500.0,70.0,100000,364.4,IPv4,120
0,324.56484200,500.0,70.0,100000,308.1,IPv6,106
0,99.69141500,0.0,80.0,100000,1003.0,IPv4,117
0,934.05635200,0.0,80.0,100000,107.1,IPv6,318
0,15.78658600,10.1,80.0,100000,6334.0,IPv4,10
0,810.39085100,10.1,80.0,100000,123.4,IPv6,266
0,96.63113600,20.1,80.0,100000,1035.0,IPv4,47
0,1018.02101800,20.1,80.0,100000,98.23,IPv6,347
0,199.13194300,50.0,80.0,100000,502.2,IPv4,92
1000000000,1000000000.00000000,50.0,80.0,100000,0.0,IPv6,81
1000000000,1000000000.00000000,100.0,80.0,100000,0.0,IPv4,44
0,933.02960300,100.0,80.0,100000,107.2,IPv6,242
0,102.58283100,200.0,80.0,100000,974.8,IPv4,80
1000000000,1000000000.00000000,200.0,80.0,100000,0.0,IPv6,50
0,458.79166200,500.0,80.0,100000,218.0,IPv4,198
0,934.92685500,500.0,80.0,100000,107.0,IPv6,234
0,110.23920700,0.0,0.0,200000,1814.0,IPv4,11
0,73.39755700,0.0,0.0,200000,2725.0,IPv6,8
0,110.11265600,0.0,0.0,200000,1816.0,IPv4,18
0,81.57893300,0.0,0.0,200000,2452.0,IPv6,8
0,118.37500000,0.0,0.0,200000,1690.0,IPv4,12
0,93.84686300,0.0,0.0,200000,2131.0,IPv6,14
0,126.55551900,0.0,0.0,200000,1580.0,IPv4,13
0,73.40193900,0.0,0.0,200000,2725.0,IPv6,7
0,93.81501600,0.0,0.0,200000,2132.0,IPv4,12
0,114.46253500,0.0,0.0,200000,1747.0,IPv6,7
0,122.45039900,0.0,0.0,200000,1633.0,IPv4,17
0,114.56121700,0.0,0.0,200000,1746.0,IPv6,7
0,114.24128200,0.0,0.0,200000,1751.0,IPv4,7
0,98.02457600,0.0,0.0,200000,2040.0,IPv6,10
0,76.76700900,0.0,0.1,200000,2605.0,IPv4,8
0,73.45149600,0.0,0.1,200000,2723.0,IPv6,13
0,81.49270800,10.1,0.1,200000,2454.0,IPv4,13
0,81.59717100,10.1,0.1,200000,2451.0,IPv6,13
0,93.75304900,20.1,0.1,200000,2133.0,IPv4,8
0,93.91428700,20.1,0.1,200000,2130.0,IPv6,8
0,73.26791400,50.0,0.1,200000,2730.0,IPv4,12
0,106.17674600,50.0,0.1,200000,1884.0,IPv6,9
0,93.82213100,100.0,0.1,200000,2132.0,IPv4,16
0,73.38369800,100.0,0.1,200000,2725.0,IPv6,12
0,122.52553700,200.0,0.1,200000,1632.0,IPv4,7
0,94.08251000,200.0,0.1,200000,2126.0,IPv6,6
0,126.68034400,500.0,0.1,200000,1579.0,IPv4,17
0,97.93298000,500.0,0.1,200000,2042.0,IPv6,12
0,68.71538100,0.0,10.0,200000,2911.0,IPv4,9
0,77.38448500,0.0,10.0,200000,2584.0,IPv6,9
0,69.26343100,10.1,10.0,200000,2888.0,IPv4,21
0,81.53518300,10.1,10.0,200000,2453.0,IPv6,8
0,77.47618700,20.1,10.0,200000,2581.0,IPv4,8
0,85.65282000,20.1,10.0,200000,2335.0,IPv6,17
0,89.79332100,50.0,10.0,200000,2227.0,IPv4,13
0,106.17121000,50.0,10.0,200000,1884.0,IPv6,8
0,102.00434600,100.0,10.0,200000,1961.0,IPv4,18
0,114.41149400,100.0,10.0,200000,1748.0,IPv6,10
0,147.00818600,200.0,10.0,200000,1360.0,IPv4,40
0,110.42842100,200.0,10.0,200000,1811.0,IPv6,24
0,66.80350500,500.0,10.0,200000,2994.0,IPv4,11
0,102.00152600,500.0,10.0,200000,1961.0,IPv6,12
0,251.60144800,0.0,20.0,200000,794.9,IPv4,43
0,147.09107700,0.0,20.0,200000,1360.0,IPv6,23
0,73.32412300,10.1,20.0,200000,2728.0,IPv4,18
0,77.45163600,10.1,20.0,200000,2582.0,IPv6,13
0,77.38417100,20.1,20.0,200000,2585.0,IPv4,22
0,167.55944700,20.1,20.0,200000,1194.0,IPv6,46
0,89.72574500,50.0,20.0,200000,2229.0,IPv4,9
0,106.18489900,50.0,20.0,200000,1884.0,IPv6,24
0,93.70531600,100.0,20.0,200000,2134.0,IPv4,37
0,98.11067000,100.0,20.0,200000,2039.0,IPv6,10
0,122.42421400,200.0,20.0,200000,1634.0,IPv4,24
0,111.47203900,200.0,20.0,200000,1794.0,IPv6,23
0,363.15441100,500.0,20.0,200000,550.7,IPv4,57
0,114.88369700,500.0,20.0,200000,1741.0,IPv6,18
0,100.90392300,0.0,30.1,200000,1982.0,IPv4,40
0,331.48033400,0.0,30.1,200000,603.4,IPv6,49
0,101.57943300,10.1,30.1,200000,1969.0,IPv4,30
0,106.22192600,10.1,30.1,200000,1883.0,IPv6,17
0,81.39603800,20.1,30.1,200000,2457.0,IPv4,32
0,102.15654600,20.1,30.1,200000,1958.0,IPv6,12
0,101.91096600,50.0,30.1,200000,1962.0,IPv4,31
0,106.26104100,50.0,30.1,200000,1882.0,IPv6,36
0,138.78254600,100.0,30.1,200000,1441.0,IPv4,13
0,99.12142600,100.0,30.1,200000,2018.0,IPv6,28
